"2007/01/28","20:30","AUD","M","NAB Quarterly Business Confidence","4","","2","","11184"
"2007/01/29","00:01","EUR","L","Eurogroup Meetings [All Day]","","","","","44042"
"2007/01/29","07:00","GBP","M","CBI Realized Sales","30","18","25","","03469"
"2007/01/29","17:45","NZD","M","Building Consents m/m","-4.9%","","-11.6%","-12.0%","03460"
"2007/01/29","19:30","JPY","L","Household Spending y/y","-1.9%","-1.2%","-0.7%","","03500"
"2007/01/29","19:30","JPY","L","Unemployment Rate","4.1%","4.0%","4.0%","","03501"
"2007/01/29","19:50","JPY","M","Prelim Industrial Production m/m","0.7%","0.4%","0.8%","0.7%","03502"
"2007/01/29","20:30","AUD","L","NAB Business Confidence","4","","6","","03465"
"2007/01/30","00:01","EUR","L","ECOFIN Meetings [All Day]","","","","","36331"
"2007/01/30","00:01","EUR","M","German Prelim CPI m/m [All Day]","-0.2%","0.2%","0.8%","","03505"
"2007/01/30","03:00","GBP","M","Nationwide HPI m/m","0.3%","0.8%","1.2%","","03513"
"2007/01/30","05:00","EUR","L","Retail PMI","47.9","","52.1","","43576"
"2007/01/30","05:30","GBP","L","Mortgage Approvals","113K","122K","129K","","10287"
"2007/01/30","05:30","GBP","L","Net Lending to Individuals m/m","11.6B","10.6B","11.2B","10.8B","03470"
"2007/01/30","06:18","EUR","L","Italian 10-y Bond Auction","4.29|1.3","","4.17|1.5","","43355"
"2007/01/30","09:30","CAD","L","IPPI m/m","1.4%","0.5%","0.0%","","03493"
"2007/01/30","09:30","CAD","L","RMPI m/m","5.2%","0.4%","0.9%","","03494"
"2007/01/30","10:00","USD","L","S+P/CS Composite-20 HPI y/y","1.7%","1.6%","2.9%","","10002"
"2007/01/30","11:00","USD","H","CB Consumer Confidence","110.3","110.5","110.0","109.0","03479"
